DateKey,CalendarYear,CalendarYearLabel,CalendarHalfYearLabel,CalendarQuarterLabel,CalendarMonthLabel,CalendarWeekLabel,CalendarDayOfWeekLabel,FiscalYear,FiscalYearLabel,FiscalHalfYearLabel,FiscalQuarterLabel,FiscalMonthLabel,IsWorkDay,IsHoliday,EuropeSeason,NorthAmericaSeason,AsiaSeason,MonthNumber,CalendarDayOfWeekNumber
2005-01-01,2005,Year 2005,H1,Q1,January,Week 1,Saturday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,6
2005-01-02,2005,Year 2005,H1,Q1,January,Week 2,Sunday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,7
2005-01-03,2005,Year 2005,H1,Q1,January,Week 2,Monday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,1
2005-01-04,2005,Year 2005,H1,Q1,January,Week 2,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,2
2005-01-05,2005,Year 2005,H1,Q1,January,Week 2,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,3
2005-01-06,2005,Year 2005,H1,Q1,January,Week 2,Thursday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,4
2005-01-07,2005,Year 2005,H1,Q1,January,Week 2,Friday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,5
2005-01-08,2005,Year 2005,H1,Q1,January,Week 2,Saturday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,6
2005-01-09,2005,Year 2005,H1,Q1,January,Week 3,Sunday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,7
2005-01-10,2005,Year 2005,H1,Q1,January,Week 3,Monday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,1
2005-01-11,2005,Year 2005,H1,Q1,January,Week 3,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,2
2005-01-12,2005,Year 2005,H1,Q1,January,Week 3,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,3
2005-01-13,2005,Year 2005,H1,Q1,January,Week 3,Thursday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,4
2005-01-14,2005,Year 2005,H1,Q1,January,Week 3,Friday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,5
2005-01-15,2005,Year 2005,H1,Q1,January,Week 3,Saturday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,6
2005-01-16,2005,Year 2005,H1,Q1,January,Week 4,Sunday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,7
2005-01-17,2005,Year 2005,H1,Q1,January,Week 4,Monday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,1
2005-01-18,2005,Year 2005,H1,Q1,January,Week 4,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,2
2005-01-19,2005,Year 2005,H1,Q1,January,Week 4,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,3
2005-01-20,2005,Year 2005,H1,Q1,January,Week 4,Thursday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,4
2005-01-21,2005,Year 2005,H1,Q1,January,Week 4,Friday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,5
2005-01-22,2005,Year 2005,H1,Q1,January,Week 4,Saturday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,6
2005-01-23,2005,Year 2005,H1,Q1,January,Week 5,Sunday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,7
2005-01-24,2005,Year 2005,H1,Q1,January,Week 5,Monday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,1
2005-01-25,2005,Year 2005,H1,Q1,January,Week 5,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,2
2005-01-26,2005,Year 2005,H1,Q1,January,Week 5,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,3
2005-01-27,2005,Year 2005,H1,Q1,January,Week 5,Thursday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,4
2005-01-28,2005,Year 2005,H1,Q1,January,Week 5,Friday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,5
2005-01-29,2005,Year 2005,H1,Q1,January,Week 5,Saturday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,6
2005-01-30,2005,Year 2005,H1,Q1,January,Week 6,Sunday,2005,FiscalYear 2005,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,7
2005-01-31,2005,Year 2005,H1,Q1,January,Week 6,Monday,2005,FiscalYear 2005,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,1
2005-02-01,2005,Year 2005,H1,Q1,February,Week 6,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,2
2005-02-02,2005,Year 2005,H1,Q1,February,Week 6,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,3
2005-02-03,2005,Year 2005,H1,Q1,February,Week 6,Thursday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,4
2005-02-04,2005,Year 2005,H1,Q1,February,Week 6,Friday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,5
2005-02-05,2005,Year 2005,H1,Q1,February,Week 6,Saturday,2005,FiscalYear 2005,H1,Q1,Month 2,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,2,6
2005-02-06,2005,Year 2005,H1,Q1,February,Week 7,Sunday,2005,FiscalYear 2005,H1,Q1,Month 2,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,2,7
2005-02-07,2005,Year 2005,H1,Q1,February,Week 7,Monday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,1
2005-02-08,2005,Year 2005,H1,Q1,February,Week 7,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,2
2005-02-09,2005,Year 2005,H1,Q1,February,Week 7,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,3
2005-02-10,2005,Year 2005,H1,Q1,February,Week 7,Thursday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,4
2005-02-11,2005,Year 2005,H1,Q1,February,Week 7,Friday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,5
2005-02-12,2005,Year 2005,H1,Q1,February,Week 7,Saturday,2005,FiscalYear 2005,H1,Q1,Month 2,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,2,6
2005-02-13,2005,Year 2005,H1,Q1,February,Week 8,Sunday,2005,FiscalYear 2005,H1,Q1,Month 2,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,2,7
2005-02-14,2005,Year 2005,H1,Q1,February,Week 8,Monday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,1
2005-02-15,2005,Year 2005,H1,Q1,February,Week 8,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,2
2005-02-16,2005,Year 2005,H1,Q1,February,Week 8,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,3
2005-02-17,2005,Year 2005,H1,Q1,February,Week 8,Thursday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,4
2005-02-18,2005,Year 2005,H1,Q1,February,Week 8,Friday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,5
