StoreKey,GeographyKey,StoreManager,StoreType,StoreName,Status,OpenDate,CloseDate,EntityKey,StorePhone,StoreFax,CloseReason,EmployeeCount,SellingAreaSize,LastRemodelDate,EmployeeKey
1,693,35,Store,Contoso Seattle No.1 Store,On,2004-04-12,2090-12-31,635,320-555-0195,320-555-0195,Not Yet Closed,17,462,2009-06-16 00:00:00,35
2,693,35,Store,Contoso Seattle No.2 Store,On,2004-02-14,2090-12-31,636,150-555-0189,150-555-0189,Not Yet Closed,25,700,2009-06-17 00:00:00,35
3,856,36,Store,Contoso Kennewick Store,On,2004-02-12,2090-12-31,934,212-555-0187,212-555-0187,Not Yet Closed,26,680,2009-06-18 00:00:00,36
4,424,37,Store,Contoso Bellevue Store,On,2004-03-01,2090-12-31,638,612-555-0100,612-555-0100,Not Yet Closed,19,455,2009-06-16 00:00:00,37
5,677,38,Store,Contoso Redmond Store,On,2004-04-02,2090-12-31,639,612-555-0100,612-555-0100,Not Yet Closed,33,560,2009-06-17 00:00:00,38
6,575,39,Store,Contoso Yakima Store,On,2005-05-15,2090-12-31,640,168-555-0183,168-555-0183,Not Yet Closed,47,1125,2009-06-16 00:00:00,39
7,838,40,Store,Contoso Granger Store,On,2004-06-16,2090-12-31,641,913-555-0172,913-555-0172,Not Yet Closed,22,500,2009-06-17 00:00:00,40
8,935,41,Store,Contoso Sunnyside Store,On,2004-07-02,2090-12-31,642,913-555-0172,913-555-0172,Not Yet Closed,17,460,2009-06-18 00:00:00,41
9,941,42,Store,Contoso Toppenish Store,On,2004-08-18,2090-12-31,643,903-555-0145,903-555-0145,Not Yet Closed,25,700,2009-06-16 00:00:00,42
10,947,43,Store,Contoso Wapato Store,On,2004-09-19,2090-12-31,644,145-555-0130,145-555-0130,Not Yet Closed,25,700,2009-06-17 00:00:00,43
11,813,44,Store,Contoso Cle Elum Store,On,2004-10-20,2090-12-31,645,849-555-0139,849-555-0139,Not Yet Closed,26,680,2009-06-16 00:00:00,44
12,893,45,Store,Contoso North Bend Store,Off,2004-11-21,2009-04-12,646,206-555-0180,206-555-0180,Relocation,19,455,2009-06-17 00:00:00,45
13,930,46,Store,Contoso Snoqualmie Store,On,2004-12-22,2090-12-31,647,122-555-0189,122-555-0189,Not Yet Closed,33,560,2009-06-18 00:00:00,46
14,825,47,Store,Contoso Fall City Store,On,2006-01-23,2090-12-31,648,819-555-0175,819-555-0175,Not Yet Closed,47,1125,2009-06-16 00:00:00,47
15,678,48,Store,Contoso Renton Store,On,2004-02-24,2090-12-31,649,424-555-0189,424-555-0189,Not Yet Closed,22,500,2009-06-17 00:00:00,48
16,627,49,Store,Contoso Everett Store,On,2004-01-25,2090-12-31,650,508-555-0165,508-555-0165,Not Yet Closed,17,462,2009-06-16 00:00:00,49
17,551,135,Store,Contoso Spokane Store,On,2004-03-26,2090-12-31,651,984-555-0185,984-555-0185,Not Yet Closed,25,700,2009-06-17 00:00:00,135
18,944,50,Store,Contoso Veradale Store,On,2004-07-27,2090-12-31,652,632-555-0129,632-555-0129,Not Yet Closed,26,680,2009-06-18 00:00:00,50
19,812,51,Store,Contoso Cheney Store,Off,2004-08-28,2009-05-12,653,328-555-0150,328-555-0150,Store,19,455,2009-06-16 00:00:00,51
20,824,52,Store,Contoso Englewood Store,On,2004-09-29,2090-12-31,654,435-555-0113,435-555-0113,Not Yet Closed,33,560,2009-06-17 00:00:00,52
21,950,66,Store,Contoso Wheat Ridge Store,On,2004-11-02,2090-12-31,655,202-555-0151,202-555-0151,Not Yet Closed,47,1125,2009-06-16 00:00:00,66
22,571,54,Store,Contoso Westminster Store,On,2004-12-03,2090-12-31,656,925-555-0114,925-555-0114,Not Yet Closed,22,500,2009-06-17 00:00:00,54
23,836,55,Store,Contoso Grand Junction Store,On,2004-01-24,2090-12-31,657,913-555-0196,913-555-0196,Not Yet Closed,17,460,2009-06-18 00:00:00,55
24,887,56,Store,Contoso New Castle Store,On,2004-02-15,2090-12-31,658,413-555-0136,413-555-0136,Not Yet Closed,25,700,2009-06-16 00:00:00,56
25,839,57,Store,Contoso Greeley  No.1 Store,On,2004-03-16,2090-12-31,659,332-555-0150,332-555-0150,Not Yet Closed,25,700,2009-06-17 00:00:00,57
26,867,58,Store,Contoso Loveland Store,On,2004-04-17,2090-12-31,660,166-555-0162,166-555-0162,Not Yet Closed,26,680,2009-06-16 00:00:00,58
27,859,59,Store,Contoso Lafayette Store,On,2004-05-18,2090-12-31,661,113-555-0173,113-555-0173,Not Yet Closed,19,455,2009-06-17 00:00:00,59
28,809,60,Store,Contoso Castle Rock Store,On,2004-06-19,2090-12-31,662,115-555-0179,115-555-0179,Not Yet Closed,33,560,2009-06-18 00:00:00,60
29,927,61,Store,Contoso Sedalia Store,Off,2004-07-20,2009-07-12,663,147-555-0160,147-555-0160,Relocation,47,1125,2009-06-16 00:00:00,61
30,829,62,Store,Contoso Fort Collins Store,On,2004-08-21,2090-12-31,664,656-555-0119,656-555-0119,Not Yet Closed,22,500,2009-06-17 00:00:00,62
31,839,57,Store,Contoso Greeley No.2 Store,On,2004-09-22,2090-12-31,665,138-555-0128,138-555-0128,Not Yet Closed,17,462,2009-06-16 00:00:00,57
32,877,63,Store,Contoso Milliken Store,On,2004-10-23,2090-12-31,666,523-555-0175,523-555-0175,Not Yet Closed,25,700,2009-06-17 00:00:00,63
33,799,64,Store,Contoso Berthoud Store,On,2004-11-24,2090-12-31,667,668-555-0130,668-555-0130,Not Yet Closed,26,680,2009-06-18 00:00:00,64
34,818,65,Store,Contoso Denver No.1 Store,On,2004-12-02,2090-12-31,668,609-555-0179,609-555-0179,Not Yet Closed,26,680,2009-06-16 00:00:00,65
35,818,65,Store,Contoso Denver No.2 Store,On,2004-10-03,2090-12-31,669,952-555-0178,952-555-0178,Not Yet Closed,19,455,2009-06-17 00:00:00,65
36,818,65,Store,Contoso Denver No.3 Store,On,2003-06-27,2090-12-31,670,943-555-0196,943-555-0196,Not Yet Closed,33,560,2009-06-16 00:00:00,65
37,803,66,Store,Contoso Boulder Store,On,2003-03-28,2090-12-31,671,937-555-0137,937-555-0137,Not Yet Closed,47,1125,2009-06-17 00:00:00,66
38,940,67,Store,Contoso Thornton Store,On,2003-04-29,2090-12-31,672,333-555-0173,333-555-0173,Not Yet Closed,22,500,2009-06-18 00:00:00,67
39,865,68,Store,Contoso Littleton Store,On,2003-05-30,2090-12-31,673,963-555-0134,963-555-0134,Not Yet Closed,17,462,2009-06-16 00:00:00,68
40,790,69,Store,Contoso Aurora Store,On,2003-06-11,2090-12-31,674,794-555-0159,794-555-0159,Not Yet Closed,25,700,2009-06-17 00:00:00,69
41,904,70,Store,Contoso Parker Store,On,2004-07-02,2090-12-31,675,218-555-0126,218-555-0126,Not Yet Closed,26,680,2009-06-16 00:00:00,70
42,840,71,Store,Contoso Green Bay Store,On,2003-08-03,2090-12-31,676,286-555-0189,286-555-0189,Not Yet Closed,19,455,2009-06-17 00:00:00,71
43,786,72,Store,Contoso Appleton Store,On,2003-09-04,2090-12-31,677,164-555-0164,164-555-0164,Not Yet Closed,33,560,2009-06-18 00:00:00,72
44,874,73,Store,Contoso Menasha Store,On,2003-10-05,2090-12-31,678,685-555-0120,685-555-0120,Not Yet Closed,47,1125,2009-06-16 00:00:00,73
45,901,74,Store,Contoso Oshkosh Store,On,2007-11-06,2090-12-31,679,786-555-0144,786-555-0144,Not Yet Closed,22,500,2009-06-17 00:00:00,74
